location,temperature,dateTemperature,dateScrape
Wannsee,4.3,2022-12-01T08:00:00Z,2022-12-01T14:08:36.931Z
Tegeler See,5.9,2022-12-01T08:00:00Z,2022-12-01T14:08:36.931Z
Müggelsee,4.3,2022-12-01T08:00:00Z,2022-12-01T14:08:36.931Z
Stechlinsee,7.5,2022-12-01T08:00:00Z,2022-12-01T14:08:36.931Z
Havel/Spandau,4.5,2022-12-01T08:00:00Z,2022-12-01T14:08:36.931Z
Oder/Kienitz,3.9,2022-12-01T08:00:00Z,2022-12-01T14:08:36.931Z
Scharfe Lanke / Pichelsdorf,5.4,2022-12-01T08:00:00Z,2022-12-01T14:08:36.931Z
Arendsee,NaN,2022-12-01T08:00:00Z,2022-12-01T14:08:36.931Z

Wannsee,4.3,2022-12-01T08:00:00Z,2022-12-01T14:11:06.184Z
Tegeler See,5.9,2022-12-01T08:00:00Z,2022-12-01T14:11:06.184Z
Müggelsee,4.3,2022-12-01T08:00:00Z,2022-12-01T14:11:06.184Z
Stechlinsee,7.5,2022-12-01T08:00:00Z,2022-12-01T14:11:06.184Z
Havel/Spandau,4.5,2022-12-01T08:00:00Z,2022-12-01T14:11:06.184Z
Oder/Kienitz,3.9,2022-12-01T08:00:00Z,2022-12-01T14:11:06.184Z
Scharfe Lanke / Pichelsdorf,5.4,2022-12-01T08:00:00Z,2022-12-01T14:11:06.184Z
Arendsee,NaN,2022-12-01T08:00:00Z,2022-12-01T14:11:06.184Z

Wannsee,4.3,2022-12-01T14:20:00Z,2022-12-01T17:03:06.644Z
Tegeler See,5.9,2022-12-01T14:20:00Z,2022-12-01T17:03:06.644Z
Müggelsee,4.3,2022-12-01T14:20:00Z,2022-12-01T17:03:06.644Z
Stechlinsee,7.5,2022-12-01T14:20:00Z,2022-12-01T17:03:06.644Z
Havel/Spandau,4.5,2022-12-01T14:20:00Z,2022-12-01T17:03:06.644Z
Oder/Kienitz,3.9,2022-12-01T14:20:00Z,2022-12-01T17:03:06.644Z
Scharfe Lanke / Pichelsdorf,5.4,2022-12-01T14:20:00Z,2022-12-01T17:03:06.644Z
Arendsee,NaN,2022-12-01T14:20:00Z,2022-12-01T17:03:06.644Z

Wannsee,4.3,2022-12-01T19:30:00Z,2022-12-01T23:03:25.190Z
Tegeler See,5.9,2022-12-01T19:30:00Z,2022-12-01T23:03:25.190Z
Müggelsee,4.3,2022-12-01T19:30:00Z,2022-12-01T23:03:25.190Z
Stechlinsee,7.5,2022-12-01T19:30:00Z,2022-12-01T23:03:25.190Z
Havel/Spandau,4.5,2022-12-01T19:30:00Z,2022-12-01T23:03:25.190Z
Oder/Kienitz,3.9,2022-12-01T19:30:00Z,2022-12-01T23:03:25.190Z
Scharfe Lanke / Pichelsdorf,5.4,2022-12-01T19:30:00Z,2022-12-01T23:03:25.190Z
Arendsee,NaN,2022-12-01T19:30:00Z,2022-12-01T23:03:25.190Z

Wannsee,4.1,2022-12-02T05:00:00Z,2022-12-02T07:03:10.140Z
Tegeler See,5.7,2022-12-02T05:00:00Z,2022-12-02T07:03:10.140Z
Müggelsee,3.6,2022-12-02T05:00:00Z,2022-12-02T07:03:10.140Z
Stechlinsee,7.3,2022-12-02T05:00:00Z,2022-12-02T07:03:10.140Z
Havel/Spandau,4.2,2022-12-02T05:00:00Z,2022-12-02T07:03:10.140Z
Oder/Kienitz,3.7,2022-12-02T05:00:00Z,2022-12-02T07:03:10.140Z
Scharfe Lanke / Pichelsdorf,5.4,2022-12-02T05:00:00Z,2022-12-02T07:03:10.140Z
Arendsee,NaN,2022-12-02T05:00:00Z,2022-12-02T07:03:10.140Z

Wannsee,4.1,2022-12-02T08:00:00Z,2022-12-02T10:03:17.226Z
Tegeler See,5.7,2022-12-02T08:00:00Z,2022-12-02T10:03:17.226Z
